r
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンの白和え, season: 通年, description: 熊本の郷土料理として定着しているクレソン料理の代表例。豆腐・ごま・みりん・塩の白和え衣がクレソンの苦みをまろやかに包む。, cuisine: 和食, created_at: 2026-05-17T11:11:42.872000000Z, region: 日本・熊本郷土料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: スーヴィドクレソン, season: 通年, description: クレソンをバキュームパックしてから62〜70℃の温水槽で10〜20分低温調理することで、均一に火が通り、色と栄養価を最大限保持できる。特定の温度でPEITCの分解量をコントロールし、辛みの強度を調整できる。, cuisine: モダンブリティッシュ料理, created_at: 2026-05-17T21:22:01.128000000Z, region: 現代調理技術})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのチップス, season: 通年, description: クレソンをフリーズドライまたは低温乾燥で乾燥させたスナックチップス。辛みが穏やかになり、サクサクしたテクスチャーになる。健康スナック市場でケールチップスの代替品として欧米でブランド化されている。, cuisine: 現代スナック, created_at: 2026-05-17T21:22:01.917000000Z, region: 現代スナック・フリーズドライ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのパウダー, season: 通年, description: クレソンをブランチングして凍結乾燥またはオーブン乾燥し、粉末状にしたもの。色・香り・栄養を保持した汎用性の高いモダン調理素材。, cuisine: 現代料理, created_at: 2026-05-17T21:22:02.662000000Z, region: 現代料理・調理技術})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×白味噌のソース, season: 通年, description: クレソンをブレンダーで白味噌・だし・みりんと合わせてなめらかなソースにする。和食の「青寄せ（青野菜ピュレ）」の技術とフランスのソース技術を融合。, cuisine: 日仏融合・モダン和食, created_at: 2026-05-17T21:22:03.738000000Z, region: 日仏融合・モダン和食})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンの天然発色パスタ, season: 通年, description: ほうれん草の代わりにクレソンのピュレをパスタ生地に練り込んで緑色の自家製パスタを作る。通常のグリーンパスタより鮮やかな緑色と辛みが特徴。, cuisine: イタリアン・モダン, created_at: 2026-05-17T21:22:04.905000000Z, region: イタリアン・モダン})"
"(:Recipe {needs_review: false, confidence: 0.9, name: ポーク豆腐クレソン炒め, season: 通年, description: 豚肉を醤油・砂糖・生姜・玉ねぎ・にんじんで炒め煮し、豆腐・青ねぎ・クレソンを加えてさっと煮る。ハワイ電力公社の料理部門が推奨するハワイのローカルレシピで、日系移民が持ち込んだ調理法に現地野菜が加わった融合料理。, cuisine: ハワイ・日系ローカル料理, created_at: 2026-05-17T21:22:05.877000000Z, region: ハワイ・日系ローカル料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: 韓国風フレッシュクレソンサラダ, season: 通年, description: クレソンを韓国式ドレッシング（ごま油・醤油・にんにく・白ごま・コチュジャン）で和えるサラダ。ハワイの韓国系コミュニティで家庭料理として定着している歴史ある一品。, cuisine: 韓国料理, created_at: 2026-05-17T21:22:07.308000000Z, region: ハワイ・韓国系ローカル料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りサイミン, season: 通年, description: 日系移民が持ち込んだラーメンベースのスープ「サイミン」にクレソンを加える。豚骨・昆布・干しエビのブレンドスープをクレソンが吸う。, cuisine: ハワイ料理, created_at: 2026-05-17T21:22:08.474000000Z, region: ハワイ・ローカルヌードルスープ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×ポキボウル, season: 通年, description: まぐろ・たこ・えびの生魚を醤油・ごま油・海藻で和えたハワイの「ポキ」に、クレソンをトッピングまたはサラダベースとして使う。クレソンのペパリーな辛みがポキの海の風味と対比し、ごまとの相性も良い。, cuisine: ハワイ料理, created_at: 2026-05-17T21:22:09.510000000Z, region: ハワイ・ポキ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンとロミロミサーモン, season: 通年, description: 塩漬け鮭を手でもみほぐし（ロミロミ）、トマト・玉ねぎと和えるハワイ先住民の伝統料理「ロミロミサーモン」にクレソンを加えたバリエーション。塩気の強い発酵鮭とクレソンの清涼感が対比し、リフレッシュ感をもたらす。, cuisine: ハワイ・ポリネシア料理, created_at: 2026-05-17T21:22:10.674000000Z, region: ハワイ・ポリネシア伝統料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りルアウシチュー, season: 通年, description: タロの葉・豚肉・ヤシミルクで煮込むハワイ伝統料理「ルアウシチュー」にクレソンを加える。タロ葉の独特の苦みとクレソンの辛みが相乗し、ヤシミルクの甘みが全体をまろやかにまとめる。, cuisine: ハワイ・ポリネシア料理, created_at: 2026-05-17T21:22:11.822000000Z, region: ハワイ・ポリネシア料理})"
"(:Recipe {needs_review: false, confidence: 0.85, name: クレソンサイド, season: 通年, description: ハワイのプレートランチにクレソンのナムル的な和え物をサイドとして追加するスタイル。日系・韓国系・ポリネシア系の料理法が混在するハワイらしい「多文化のプレート」。, cuisine: ハワイ料理, created_at: 2026-05-17T21:22:12.671000000Z, region: ハワイ・プレートランチ文化})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×アヒナメロ, season: 通年, description: グリルしたまぐろ（アヒ）に、クレソン・マンゴー・しょうが・パッションフルーツのソースをかける現代ハワイ料理。フランス料理のバック技術とポリネシア食材が融合。, cuisine: ハワイ・ハワイアンフュージョン, created_at: 2026-05-17T21:22:13.633000000Z, region: ハワイ・ハワイアンフュージョン})"
"(:Recipe {needs_review: false, confidence: 0.9, name: スパムむすびとクレソン, season: 通年, description: ハワイのソウルフード「スパムむすび」に、クレソンのナムルを添えるまたは内側に加えるバリエーション。スパムの塩気とクレソンの辛みが合わさり、ポルテガ系移民が持ち込んだ食文化とも融合する。, cuisine: ハワイ・日系ポップカルチャー料理, created_at: 2026-05-17T21:22:14.782000000Z, region: ハワイ・日系ポップカルチャー料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのフルーツサラダ, season: 通年, description: パパイヤ・パイナップル・マンゴー・ライムジュースとクレソンを合わせるハワイのトロピカルサラダ。南国フルーツの甘みとクレソンの辛みが絶妙にバランスし、ヤシの実の風味が加わる。, cuisine: ハワイ・トロピカル料理, created_at: 2026-05-17T21:22:15.923000000Z, region: ハワイ・トロピカル料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りゴメン, season: 通年, description: エチオピアの定番葉野菜料理「ゴメン」のクレソンバリエーション。クレソンのほろ苦さがゴメンに近く、ニテル・キベの香りと合わさる。, cuisine: エチオピア料理, created_at: 2026-05-17T21:22:16.861000000Z, region: エチオピア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×ミサ・ワット添え, season: 通年, description: スパイシーなレンズ豆カレー「ミサ・ワット」のサイドにクレソンを添える。ベルベレの辛みをクレソンの清涼感が中和する構造は、弘晃さんが体験した「カレー×クレソン」の文脈と同じ。, cuisine: エチオピア料理, created_at: 2026-05-17T21:22:18.072000000Z, region: レンズ豆カレー})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×ニテル・キベのソース, season: 通年, description: エチオピアのスパイスクラリファイドバター「ニテル・キベ」にクレソンを混ぜてコンパウンドバター化する融合アイデア。クレソンの辛みとスパイスバターの複雑な香りが融合する現代的アレンジ。, cuisine: エチオピア料理, created_at: 2026-05-17T21:22:19.041000000Z, region: エチオピア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りフォル, season: 通年, description: そら豆をオリーブオイル・クミン・にんにくで煮込むエジプト・エチオピア朝食料理「フォル」に仕上げでクレソンを散らす。豆の濃厚なホクホク感とクレソンの辛みと清涼感が対比する。, cuisine: エチオピア・エジプト料理, created_at: 2026-05-17T21:22:20.206000000Z, region: エチオピア・エジプト})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りシロ, season: 通年, description: ひよこ豆粉を水・玉ねぎ・にんにく・スパイスで煮た「シロ」にクレソンを加える。シロは豆ベースのなめらかな煮物で、クレソンが最後に加わることで食感のコントラストと緑の色彩が生まれる。, cuisine: エチオピア料理, created_at: 2026-05-17T21:22:21.167000000Z, region: エチオピア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りティール, season: 通年, description: 牛肉または羊肉をにんにく・ローズマリー・バター・唐辛子で強火炒めするエチオピアの定番肉料理「ティブス」の付け合わせにクレソンを使う。グリル肉の焦げ目の香りとクレソンの清涼感が見事な対比を生む。, cuisine: エチオピア料理, created_at: 2026-05-17T21:22:22.234000000Z, region: エチオピア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのインジェラ包み, season: 通年, description: インジェラでクレソンの炒め物を包んで食べるスタイル。インジェラの酸味とクレソンのほろ苦さが絶妙に合わさる。エチオピアの食文化では指で食べるため、クレソンが手に余らないよう細かく刻んで使う。, cuisine: エチオピア料理, created_at: 2026-05-17T21:22:23.170000000Z, region: エチオピア料理のスタイル})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りスパイスソルト, season: 通年, description: エチオピアの激辛スパイス「ミトミタ」で炒めたクレソン。ミトミタの強い辛みとクレソンの清涼感が組み合わさるエクストリームな一品。, cuisine: エチオピア料理, created_at: 2026-05-17T21:22:23.900000000Z, region: エチオピア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×キブス, season: 通年, description: エチオピア・エリトリアの揚げパン「キブス」にクレソンのゴメン風炒め物を詰める朝食スタイル。揚げたてのパン生地の香ばしさとクレソンのほろ苦さが合わさり、ニテル・キベを塗ることで風味が増す。, cuisine: エリトリア・エチオピア料理, created_at: 2026-05-17T21:22:24.732000000Z, region: エリトリア・エチオピア料理})"
"(:Recipe {needs_review: false, confidence: 0.85, name: エチオピア式ワインサラダ, season: 通年, description: エチオピアワイン（テジ・はちみつワイン）ビネグレットを使ったクレソンサラダで、伝統的な食材と現代料理技術を組み合わせた「ニュー・エチオピアン・キュイジーヌ」の文脈での展開です。, cuisine: エチオピア・現代料理, created_at: 2026-05-17T21:22:25.457000000Z, region: エチオピア・現代料理})"
"(:Recipe {needs_review: false, confidence: 0.85, name: クレソン入りモロッコタジン, season: 通年, description: 鶏肉・保存レモン・オリーブのタジンの仕上げにクレソンを加える。ラス・エル・ハヌートの複雑な香りとクレソンの辛みが合わさり、保存レモンの塩酸味が全体を引き締める。, cuisine: モロッコ料理, created_at: 2026-05-17T21:22:27.655000000Z, region: モロッコ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りクスクスサラダ, season: 通年, description: 蒸したクスクスにローストした根野菜・ひよこ豆・ドライフルーツ・クレソンを混ぜて、ハリサ（チリペースト）ドレッシングで和える。モロッコ料理の「祝いの料理」としての格を持つ。, cuisine: モロッコ料理, created_at: 2026-05-17T21:22:28.608000000Z, region: モロッコ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソンのシャルムーラ, season: 通年, description: コリアンダー・パセリ・にんにく・クミン・レモン・オリーブオイルで作るモロッコのマリネソース「シャルムーラ」にクレソンを加えた緑ソース。魚・チキンのマリネ・仕上げソースとして使う。, cuisine: モロッコ料理, created_at: 2026-05-17T21:22:29.768000000Z, region: モロッコ・北アフリカ})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りビスティラ, season: 通年, description: 鶏肉（または鳩肉）・卵・アーモンド・シナモン・砂糖を薄いワルカ生地で包んで焼くモロッコの伝統肉パイ「ビスティラ」の中にクレソンを加える。甘塩っぱい複雑な風味にクレソンのほろ苦さが第三の次元をもたらす。, cuisine: モロッコ料理, created_at: 2026-05-17T21:22:30.700000000Z, region: モロッコ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×ハリサのホットソース, season: 通年, description: チリ・にんにく・クミン・コリアンダーで作る北アフリカの赤辛ペースト「ハリサ」とクレソンを組み合わせたグリーン版ホットソース。クレソンの辛みとハリサの赤い辛みが異なる種類の刺激を重ねる。, cuisine: モロッコ・チュニジア料理, created_at: 2026-05-17T21:22:31.653000000Z, region: モロッコ・チュニジア料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×保存レモンのサラダ, season: 通年, description: 塩漬けレモンの塩気・苦みとクレソンのペパリーな辛みが融合するモロッコらしいサラダ。モロッコ料理特有の「強い風味の素材同士を合わせる」美学の体現。, cuisine: モロッコ料理, created_at: 2026-05-17T21:22:32.482000000Z, region: モロッコ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りモロッコスタイル豆スープ, season: 通年, description: ひよこ豆・レンズ豆・トマト・コリアンダー・シナモン・サフランで作るモロッコのラマダン明け定番スープ「ハリラ」にクレソンを加える。豆の旨味を存分に吸ったクレソンが、スパイスの複雑な風味の中で清涼感を加える。, cuisine: モロッコ料理, created_at: 2026-05-17T21:22:33.345000000Z, region: モロッコ料理})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン×アルガンオイルのサラダ, season: 通年, description: モロッコ特産の高級植物油「アルガンオイル」とクレソンを合わせるプレミアムサラダ。アルガンオイルのナッティな風味とクレソンの辛みが合わさり、その土地らしいテロワール感が生まれる。, cuisine: モロッコ料理, created_at: 2026-05-17T21:22:34.423000000Z, region: モロッコ・特産品})"
"(:Recipe {needs_review: false, confidence: 0.9, name: クレソン入りモロカン・ブレックファスト・プレート, season: 通年, description: モロッコの伝統朝食にクレソンのサラダを添えるスタイル。モロッコのカフェでは朝食をゆっくり楽しむ文化があり、クレソンがフレッシュな要素として機能する。, cuisine: モロッコ料理, created_at: 2026-05-17T21:22:35.251000000Z, region: モロッコ料理})"
"(:Recipe {validated: true, validation_note: フランス料理の前菜でも有名なクレソンサラダ。ドレッシングを何にするかでバリエーションが広がる。チーズ系のシーザードレッシングもいいけど、ゴマダレもgood！, name: クレソンサラダ, taste_score: 4.5, difficulty_score: 4.0, validated_at: 2026-05-18T04:20:54.327000000Z, appearance_score: 4.0, overall_score: 4.3, validation_count: 3})"
